,Id,SalePrice,LotFrontage_nan,MasVnrArea_nan,GarageYrBlt_nan,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,1,208500,0,0,0,0.2352941176470588,0.75,0.41326840656122976,0.36627135906966113,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.6818181818181819,0.8,1.0,1.0,1.0,0.6666666666666665,0.5,0.03676470588235294,0.09836065573770493,0.0,0.0,0.9,0.9,0.5,0.7160380828977281,0.6666666666666666,1.0,1.0,0.75,0.75,0.25,1.0,0.7595081688051273,0.8333333333333333,0.0,0.6468381434062775,0.14009819967266776,1.0,1.0,1.0,1.0,0.3558391223102011,0.8844195655086796,0.0,0.5774360149312434,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.6666666666666666,0.5,1.0,0.0,0.2,0.8,0.04672897196261682,0.6666666666666666,0.5,0.38645980253878703,0.6666666666666666,1.0,1.0,0.0,0.654448814435194,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.5,0.6666666666666666,0.75
1,2,181500,0,0,0,0.0,0.75,0.4903065586553299,0.39124518250563334,1.0,1.0,0.0,0.3333333333333333,1.0,0.25,0.0,0.5454545454545454,0.2,1.0,1.0,0.8,0.5555555555555556,0.875,0.22794117647058823,0.5245901639344263,0.0,0.0,0.1,0.2,0.25,0.0,0.3333333333333333,1.0,0.5,0.75,0.75,1.0,0.6666666666666666,0.7971883235394353,0.8333333333333333,0.0,0.7287306520479248,0.2065466448445172,1.0,1.0,1.0,1.0,0.5027526640881166,0.0,0.0,0.4699346734026433,0.0,0.5,0.6666666666666666,0.0,0.375,0.3333333333333333,0.3333333333333333,0.33333333333333337,1.0,0.3333333333333333,0.6000000000000001,0.8,0.2897196261682243,0.6666666666666666,0.5,0.3244005641748942,0.6666666666666666,1.0,1.0,0.8439345207253247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.36363636363636365,0.25,0.6666666666666666,0.75
2,3,223500,0,0,0,0.2352941176470588,0.75,0.42998996454485483,0.42228857063501457,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.6818181818181819,0.8,1.0,1.0,1.0,0.6666666666666665,0.5,0.051470588235294115,0.11475409836065574,0.0,0.0,0.9,0.9,0.5,0.6903612496913564,0.6666666666666666,1.0,1.0,0.75,0.75,0.5,1.0,0.7163565286525998,0.8333333333333333,0.0,0.783246236031116,0.15057283142389527,1.0,1.0,1.0,1.0,0.3831233612026792,0.8862454312119562,0.0,0.5928253976052988,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.6666666666666666,0.33333333333333337,1.0,0.3333333333333333,0.6000000000000001,0.8,0.06542056074766354,0.6666666666666666,0.5,0.4287729196050776,0.6666666666666666,1.0,1.0,0.0,0.5964218091585775,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7272727272727273,0.5,0.6666666666666666,0.75
3,4,140000,0,0,0,0.2941176470588235,0.75,0.38363315835431044,0.39022311202938087,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.7272727272727273,0.8,1.0,1.0,1.0,0.6666666666666665,0.5,0.6691176470588235,0.6065573770491803,0.0,0.0,0.2,0.4,0.25,0.0,0.3333333333333333,1.0,0.25,0.5,1.0,0.25,0.6666666666666666,0.6227795898876046,0.8333333333333333,0.0,0.8113606923289686,0.12373158756137481,1.0,0.75,1.0,1.0,0.3996231405238886,0.8684714035453164,0.0,0.5788817550073739,0.3333333333333333,0.0,0.3333333333333333,0.0,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.8,0.4,0.07476635514018691,0.3333333333333333,0.75,0.4527503526093089,0.6666666666666666,1.0,1.0,0.0,0.568246512465584,0.4927536231884058,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.09090909090909091,0.0,0.6666666666666666,0.0
4,5,250000,0,0,0,0.2352941176470588,0.75,0.5084388934349879,0.468694490250829,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,0.0,1.0,0.8,1.0,1.0,1.0,0.7777777777777777,0.5,0.058823529411764705,0.14754098360655737,0.0,0.0,0.9,0.9,0.5,0.7943184376738682,0.6666666666666666,1.0,1.0,0.75,0.75,0.75,1.0,0.7508411946605893,0.8333333333333333,0.0,0.7988584543228832,0.18739770867430444,1.0,1.0,1.0,1.0,0.465925621805773,0.9118316089138266,0.0,0.6662890993712156,0.3333333333333333,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5833333333333334,1.0,0.3333333333333333,0.6000000000000001,0.8,0.07476635514018691,0.6666666666666666,0.75,0.5895627644569816,0.6666666666666666,1.0,1.0,0.7791263723811479,0.7044810215762689,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9999999999999999,0.5,0.6666666666666666,0.75
5,6,143000,0,0,0,0.17647058823529413,0.75,0.5128386291432698,0.4666940329438629,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.4090909090909091,0.8,1.0,1.0,0.2,0.4444444444444445,0.5,0.11764705882352941,0.2459016393442623,0.0,0.0,0.9,0.9,0.25,0.0,0.3333333333333333,1.0,0.75,0.75,0.75,0.25,1.0,0.763688863309991,0.8333333333333333,0.0,0.5381706819909426,0.13027823240589198,1.0,1.0,1.0,1.0,0.328342312734057,0.8306108042329501,0.0,0.49691668978013537,0.3333333333333333,0.0,0.3333333333333333,0.5,0.125,0.3333333333333333,0.3333333333333333,0.24999999999999997,1.0,0.0,0.2,0.8,0.14953271028037382,0.3333333333333333,0.5,0.3385049365303244,0.6666666666666666,1.0,1.0,0.5497838233014749,0.5445349351609194,0.0,0.6299212598425197,0.0,0.0,0.0,0.5,0.0,0.04516129032258065,0.8181818181818182,0.75,0.6666666666666666,0.75
6,7,307000,0,0,0,0.0,0.75,0.4663383822971163,0.40087236923282465,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.8181818181818182,0.8,1.0,1.0,0.8,0.7777777777777777,0.5,0.022058823529411763,0.04918032786885246,0.0,0.0,0.9,0.9,1.0,0.7089775783333425,0.6666666666666666,1.0,1.0,1.0,0.75,0.75,1.0,0.8360878298501523,0.8333333333333333,0.0,0.74285563888642,0.27594108019639935,1.0,1.0,1.0,1.0,0.6142021681564125,0.0,0.0,0.5741091314141511,0.3333333333333333,0.0,0.6666666666666666,0.0,0.375,0.3333333333333333,0.6666666666666666,0.41666666666666663,1.0,0.3333333333333333,0.8,0.8,0.02803738317757009,0.6666666666666666,0.5,0.4485190409026798,0.6666666666666666,1.0,1.0,0.8209478102350838,0.6438734158894466,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6363636363636364,0.25,0.6666666666666666,0.75
7,8,200000,1,0,0,0.2352941176470588,0.75,0.4354026207299284,0.4065726405883461,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,0.6666666666666665,0.625,0.2647058823529412,0.6065573770491803,0.0,0.0,0.6000000000000001,0.5,1.0,0.7433602190991252,0.3333333333333333,1.0,0.5,0.75,0.75,0.5,0.6666666666666666,0.782185849606325,0.16666666666666666,0.021709633649932156,0.6935875472494246,0.1811783960720131,1.0,1.0,1.0,1.0,0.4531510371745986,0.9028287916518669,0.0,0.6484563913806802,0.3333333333333333,0.0,0.6666666666666666,0.5,0.375,0.3333333333333333,0.3333333333333333,0.41666666666666663,1.0,0.6666666666666666,0.6000000000000001,0.8,0.3364485981308411,0.6666666666666666,0.5,0.3413258110014104,0.6666666666666666,1.0,1.0,0.8089048187798009,0.8440814485462356,0.41304347826086957,0.0,0.0,0.0,0.0,1.0,0.0,0.022580645161290325,0.9090909090909091,0.75,0.6666666666666666,0.75
8,9,129900,0,0,0,0.17647058823529413,0.25,0.32358458927460987,0.3031315081878636,1.0,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.2272727272727273,0.0,1.0,1.0,0.2,0.6666666666666665,0.5,0.5661764705882353,0.9672131147540984,0.0,0.0,0.8,0.4,0.25,0.0,0.3333333333333333,1.0,0.25,0.5,0.75,0.25,0.8333333333333333,0.0,0.8333333333333333,0.0,0.8843558089393824,0.155810147299509,1.0,0.75,1.0,0.3333333333333333,0.42291381377821224,0.8677773423533791,0.0,0.5904395206873216,0.0,0.0,0.6666666666666666,0.0,0.25,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6000000000000001,0.4,0.719626168224299,0.3333333333333333,0.5,0.3300423131170663,0.3333333333333333,1.0,1.0,0.6678199699163418,0.0,0.3713768115942029,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2727272727272727,0.5,0.6666666666666666,0.0
9,10,118000,0,0,0,1.0,0.75,0.31628002743472483,0.34082999975088124,1.0,1.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.13636363636363635,0.0,0.0,0.0,0.4,0.4444444444444445,0.625,0.5073529411764706,0.9672131147540984,0.0,0.0,0.1,0.2,0.25,0.0,0.3333333333333333,1.0,0.25,0.5,0.75,0.25,1.0,0.7811039679306186,0.8333333333333333,0.0,0.6380044095144113,0.16219312602291328,1.0,1.0,1.0,1.0,0.44275245048654277,0.0,0.0,0.41385107047617,0.3333333333333333,0.0,0.3333333333333333,0.0,0.25,0.6666666666666666,0.3333333333333333,0.24999999999999997,1.0,0.6666666666666666,0.6000000000000001,0.8,0.6448598130841121,0.6666666666666666,0.25,0.14456981664315938,1.0,1.0,1.0,0.0,0.25521212430499585,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.6666666666666666,0.75
